,title
69,"ULPT: Bartenders working Christmas office parties, keep an eye out for the guy who everyone gets along with and is the party animal. Have a laugh with him. Near the end of the night give him a free drink and tell him he'll get another he goes round with a bucket collecting tips for the bar staff."
70,"ULPT: if you own a business near a Walmart and they compete against you : bombard every walmart employee with unionisation propaganda, the Walmart will layoff everyone and ""close for renovations"" and you also get a lot of resumes from seasoned retail workers"
71,"ULPT: On most graphing calculators you can archive a program or cheat sheet, and when your teacher erases the RAM before a test you can simply go into the archive that wasn’t wiped and restore the cheat sheet."
72,ULPT: If you own a household item that you cannot afford to get repaired keep it in your car. If you are ever in an accident that isn’t your fault you can claim it broke during the collision and get the repair paid for in the insurance claim.
73,"ULPT: If a meeting is getting too boring, stand up and walk out *quickly* while staring at your phone. Nobody will stop you, and you'll have time to think of a decent excuse before you're interrogated."
74,ULPT : If your family or roommates dont want to upgrade internet speed just go into the router admin settings and set their devices to one of the lowest bandwiths possible. When they start complaining about it just tell them that upgrading internet will fix the problem.
75,ULPT: If you’re ugly: Schedule a free appointment with a plastic surgeon for something like rhinoplasty (nose job). The doctor takes photos and sends them back to you with alterations so you can see the changes. Use said pictures on dating sites to score more dates.
76,"ULPT: Starting at a new job? Make sure not to give 100% on your first day. Always give 75%. That way, if you play it down at 50% they'll think you're just having a bad day, and if you later start giving 100% you'll be more likely to get a raise for your improved work effort."
77,ULPT: Did you get the dreaded SSSS on your boarding pass? Just throw it away and pull up your boarding pass on your phone.
78,"ULPT: during your last semester of college, get your student ID photo retaken. You’ll have a more believable ID for student discounts/perks for a few extra years after graduating"
79,"ULPT, SLPT, ILPT, or LPT? A handy flowchart."
80,ULPT: Drug tests at work? Bring homemade food for the office with slight amounts of thc. They can’t fire everyone :)
81,"ULPT: Take a picture of yourself everyday or every week slowly getting fatter and when you’ve reached a good heavy, post all the photos in reverse along with whatever diet or exercise plan you are selling."
82,"ULPT: When planting plants on top of dead bodies, make sure to plant an endangered species so it will be against the law to dig it up."
83,"ULPT: Looking for a gently used video game console/game/tablet this holiday season? Wait outside a GameStop, find someone trading in what you want and tell them you will give them $25 more than whatever GameStop offers them."
84,"ULPT: Break off the end of any random key in your possession and use it as a prop/proof as to why your late for any obligation (work, social, family) by telling them ""My stupid key broke off in my door. Had to call a locksmith/landlord."""
85,ULPT: If you live with family or spouse now is the best time of year to order questionable things online (sex toys) and just say they can't see it because it's a Christmas present.
86,"ULPT: If you want people to stop letting their dogs sh*t on your lawn, don't put up a ""no dogs allowed"" sign or a ""please pick up your sh*t"" sign...put up a ""Lawn Recently Treated with Toxic Pesticides"" sign - nobody wants their doggo or pupper walking around on/accidentally ingesting poison."
87,ULPT: College students! Looking for a rich SO? Go to your schools Top Parental Donors page and locate then seduce their kids.
88,ULPT: if you want to Rummage through someone's desk drawers and are wary of being caught do so with an empty stapler in your hand.
89,"ULPT: If you hear a mosquito buzzing around at night while you are trying to sleep, cover yourself fully and uncover some skin of your sleeping life partner. You should be safer."
90,"ULPT: If your ubereats order is missing an item, instead of saying that it is missing an item, say that you received the wrong order. That way they’ll refund the whole order instead of the single missing item"
91,ULPT: Wanna browse Reddit at work or school without being noticed? This website makes Reddit look like a Microsoft Email account.
92,ULPT: Want telemarketers to stop calling you? Sexually harass them.
93,ULPT: A little paint on the visor of a riot helmet will render them entirely useless.
94,ULPT:when going for interview make your 2 or 3 friends to sign up for interview as well and tell them to give the stupidest interview ever.
95,ULPT: Need a phone and/or cash? Volunteer to clean up after a big concert. People tend to lose their stuff there.
96,"ULPT: Take your student ID card with you everywhere you go even if you aren't a student anymore. Many places have good student discounts, and the employees usually don't care to ask if you're a current student at a university"
97,ULPT: Own a coffee shop and need to boost your sales? Trigger fire alarm in the local office buildings. Their employees will have to go out and will probably want to grab a drink while they wait.
98,"ULPT: When going for a new job, tell them you earn more than you currently do but you’re “happy to stay at your current salary”. They’ll usually give you a little bit more anyway so you’ll get a nice raise for yourself."
